Day,Mauna Kea,Kitt Peak,Calar Alto,Las Campanas,Sutherland,Siding Spring
198,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
199,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
200,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
201,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
202,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
203,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
204,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
205,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
206,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
207,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
208,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
209,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
210,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
211,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
212,0.87,0.3967055,0.775147928994083,0.76248992747784,0.634594594594595,0.65
213,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
214,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
215,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
216,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
217,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
218,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
219,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
220,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
221,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
222,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
223,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
224,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
225,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
226,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
227,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
228,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
229,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
230,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
231,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
232,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
233,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
234,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
235,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
236,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
237,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
238,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
239,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
240,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
241,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
242,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
243,0.78499997,0.519358,0.715976331360947,0.764705882352941,0.634594594594595,0.65
244,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
245,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
246,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
247,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
248,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
249,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
250,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
251,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
252,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
253,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
254,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
255,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
256,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
257,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
258,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
259,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
260,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
261,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
262,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
263,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
264,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
265,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
266,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
267,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
268,0.8,0.6874053,0.518737672583826,0.829446064139942,0.634594594594595,0.65
