Day,Month,CTIO,CalarAlto1,CalarAlto2,KPNO,LaSilla,Magellan,MaunaKea,MMT,SSO,Sutherland,WIYN
208,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
209,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
210,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
211,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
212,7,0.62,0.76268115942029,0.775147928994083,0.46,0.76248992747784,0.920113194531544,0.87,0.330561330561331,0.65,0.634594594594595,0.3967055
213,8,0.69,0.742753623188406,0.715976331360947,0.59,0.764705882352941,0.920113194531544,0.78499997,0.457380457380457,0.65,0.634594594594595,0.519358
214,8,0.69,0.742753623188406,0.715976331360947,0.59,0.764705882352941,0.920113194531544,0.78499997,0.457380457380457,0.65,0.634594594594595,0.519358
215,8,0.69,0.742753623188406,0.715976331360947,0.59,0.764705882352941,0.920113194531544,0.78499997,0.457380457380457,0.65,0.634594594594595,0.519358
216,8,0.69,0.742753623188406,0.715976331360947,0.59,0.764705882352941,0.920113194531544,0.78499997,0.457380457380457,0.65,0.634594594594595,0.519358
217,8,0.69,0.742753623188406,0.715976331360947,0.59,0.764705882352941,0.920113194531544,0.78499997,0.457380457380457,0.65,0.634594594594595,0.519358
218,8,0.69,0.742753623188406,0.715976331360947,0.59,0.764705882352941,0.920113194531544,0.78499997,0.457380457380457,0.65,0.634594594594595,0.519358
219,8,0.69,0.742753623188406,0.715976331360947,0.59,0.764705882352941,0.920113194531544,0.78499997,0.457380457380457,0.65,0.634594594594595,0.519358
220,8,0.69,0.742753623188406,0.715976331360947,0.59,0.764705882352941,0.920113194531544,0.78499997,0.457380457380457,0.65,0.634594594594595,0.519358
221,8,0.69,0.742753623188406,0.715976331360947,0.59,0.764705882352941,0.920113194531544,0.78499997,0.457380457380457,0.65,0.634594594594595,0.519358
222,8,0.69,0.742753623188406,0.715976331360947,0.59,0.764705882352941,0.920113194531544,0.78499997,0.457380457380457,0.65,0.634594594594595,0.519358
