Date__(UT)__HR:MN,R.A._(ICRF),DEC__(ICRF),R.A.__(a-app),DEC_(a-app),APmag,Ang-diam,delta,deldot,S-T-O,Cnst,N.Pole-RA,N.Pole-DC
1939-Jul-27 18:00, 20 11 18.49, -26 35 10.7, 20 07 40.55, -26 45 46.2, -2.741, 24.14445, 0.38788623, -0.0282569, 6.0746, Cap, 317.74699, 52.92369
1941-Oct-03 06:00, 01 19 13.01, +04 16 03.1, 01 16 13.17, +03 57 45.9, -2.53, 22.81652, 0.4104614, -0.0158945, 7.2259, Psc, 317.74404, 52.92225
1943-Nov-28 12:00, 04 59 48.24, +24 30 24.6, 04 56 23.40, +24 25 18.9, -1.95, 17.3609, 0.53944773, -0.0174792, 6.675, Tau, 317.74198, 52.92071
1946-Jan-10 06:00, 07 53 22.54, +25 07 31.7, 07 50 06.93, +25 15 57.5, -1.503, 14.64841, 0.63933898, -0.0252417, 4.1172, Gem, 317.73987, 52.91957
1948-Feb-17 18:00, 10 09 34.20, +16 10 04.2, 10 06 45.93, +16 25 22.3, -1.342, 13.82165, 0.67758205, -0.0349882, 2.6677, Leo, 317.73745, 52.91842
1950-Mar-27 06:00, 12 09 33.53, +02 35 52.0, 12 07 01.79, +02 52 21.4, -1.417, 14.41438, 0.64971913, -0.0025871, 3.9123, Vir, 317.735, 52.91709
1952-May-08 12:00, 14 25 15.20, -13 56 14.5, 14 22 41.20, -13 43 35.1, -1.722, 16.7763, 0.55824589, -0.0191858, 6.4044, Lib, 317.73281, 52.91564
1954-Jul-02 06:00, 18 04 15.10, -28 03 29.8, 18 01 25.60, -28 03 43.1, -2.538, 21.89197, 0.42779606, -0.0212393, 7.4344, Sgr, 317.73084, 52.91437
1956-Sep-07 06:00, 23 31 58.25, -09 37 44.1, 23 29 46.01, -09 51 50.4, -2.872, 24.76995, 0.37809113, 0.0125075, 5.5225, Aqr, 317.728, 52.91318
1958-Nov-08 12:00, 03 39 54.50, +19 33 07.1, 03 37 33.96, +19 25 09.1, -2.147, 19.20316, 0.48769579, -0.0151391, 7.4567, Tau, 317.72559, 52.91152
1960-Dec-25 06:00, 06 50 39.79, +26 29 11.0, 06 48 15.47, +26 31 48.1, -1.577, 15.43359, 0.60681291, 0.0050603, 5.0385, Gem, 317.7236, 52.91027
