_RAJ2000,_DEJ2000,HIP,Vmag,Plx,B-V,pc,target_blind,target_deep,has_planets,SPOCS,HD Name,Rstar,Rstar_source,Teff,Teff_source,logg,logg_source,__M_H_,__M_H__source,Vsini,Vsini_source,Mstar,Mstar_source,Vmac,Vmac_source,Comments,Other Name,MK,S,S_source,logRHK,logRHK_source
165.83414,35.96988,54035,7.49,392.4,1.502,2.54842,true,false,false,,HD 95735,0.3924,Newton 2015,3532,Newton 2015,4.82,Prugniel 2011 (MILES),-0.4,Prugniel 2011 (MILES),1.6,Glebocki 2005,0.386,Mann 2015,,,Also in PASTEL and ELODIE,Gl 411,M2+V,0.402,Wright 2004,,
217.42896,-62.679485,70890,11.01,772.33,1.807,1.2947832,true,false,false,,Proxima Cen,0.141,Demory 2009,3054,Boyajian 2012,5.21,This work (calculated),0.19,Edvardsson 1993,0.0864,Kiraga 2007,0.118,,,,Data was annoying to get. Metallicity is for Alpha Cen. Rotation was calculated from an 82.53 day period,Proxima Cen; V645 Cen; GJ 551,M5.5Ve,4.1,Cincunegui 2007,,
259.05566,-26.546146,84478,6.33,167.56,1.144,5.9680114,true,true,false,,HD 156026,0.72,CADARS,4380,Prugniel 2011 (MILES),4.71,Prugniel 2011 (MILES),-0.27,Prugniel 2011 (MILES),3.3,Glebocki 2005,0.67,ISBN 0199697140,,,"Also in PASTEL, Schroeder 2009",,K5V,0.813,Schroeder 2009 Classic,,
297.69583,8.868322,97649,0.76,194.44,0.221,5.142975,true,false,false,,HD 187642,1.5,CADARS,7550,PASTEL 2016,4.13,PASTEL 2016,-0.24,PASTEL 2016,211,Glebocki 2005,1.74,https://doi.org/10.1017/S1743921304004314,,,Also in Schroeder 2009,Altair,A7Vn,0.378,Schroeder 2009 Classic,,
316.72476,38.749416,104214,5.2,287.13,1.069,3.482743,false,true,false,,HD 201091,0.728,CADARS,4242,Prugniel 2011 (MILES),4.7,Prugniel 2011 (MILES),-0.38,Prugniel 2011 (MILES),2,Glebocki 2005,0.67,ISBN 0199697140,,,Also in PASTEL; ELODIE; and Gaspar 2016,61 Cygni A,K5V,,,,
316.73026,38.742054,104217,6.05,285.42,1.309,3.5036085,false,true,false,,HD 201092,0.601,Newton 2015,4025,Newton 2015,4.49,ELODIE,-0.41,ELODIE,1.6,Glebocki 2005,0.641,Mann 2015,,,Also in PASTEL,61 Cygni B,K7V,,,,
319.31363,-38.867363,105090,6.69,253.37,1.397,3.9467971,true,true,false,,HD 202560,0.72,CADARS,3796,Koleva 2012,4.55,Koleva 2012,-0.62,Koleva 2012,0.9,Glebocki 2005,0.58,,,,Parts in Gaspar 2016; PASTEL 2016,GJ 825,M1V,,,,
321.61087,-65.366196,105858,4.21,108.5,0.494,9.21659,true,false,false,,HD 203608,1,CADARS,6150,Ramirez 2013,4.35,Ramirez 2013,-0.66,Ramirez 2013,3.4,Glebocki 2005,0.932,,,,,,F9VFe-1.4CH-0.7,,,,
330.84024,-56.785976,108870,4.69,275.76,1.056,3.6263416,false,true,false,,HD 209100,0.84,CADARS,4500,PASTEL 2016,4.7,PASTEL 2016,0.04,PASTEL 2016,1.4,Glebocki 2005,0.67,ISBN 0199697140,,,Mass Radius and Metallicity also in Gaspar 2016,eps Ind,K5V,0.44,Cincunegui 2007,,
344.10022,-31.565567,113283,6.48,130.94,1.094,7.6370854,true,false,false,,HD 216803,0.65,Gaspar 2016,4555,PASTEL 2016,4.53,PASTEL 2016,-0.01,PASTEL 2016,2.6,Glebocki 2005,0.77,,,,Metallicity also in Gaspar 2016,,K4Ve,1,Cincunegui 2007,,
346.46683,-35.85307,114046,7.35,303.9,1.483,3.2905562,true,true,false,,HD 217987,0.468,Mann 2015,3688,Mann 2015,4.79,Mann 2015 (Calculated),-0.06,Mann 2015,0.9,Glebocki 2005,0.495,Mann 2015,,,R and Teff also in Newton 2015 and Houbedine 2010; radius also in CADARS; Teff also in PASTEL;,Gl 887,M2V,1.07,Wright 2004,,
